iter	Logloss	Recall	Precision	Accuracy
0	0.6814241898	0.8661087866	0.7610294118	0.7335164835
1	0.6722480525	0.9121338912	0.7676056338	0.760989011
2	0.6612236574	0.9456066946	0.7847222222	0.793956044
3	0.6527368753	0.9707112971	0.7837837838	0.8049450549
4	0.6436289497	0.9916317992	0.7873754153	0.8186813187
5	0.6340374225	0.9958158996	0.7986577181	0.8324175824
6	0.6241149205	0.9958158996	0.7959866221	0.8296703297
7	0.6149282872	1	0.8129251701	0.8489010989
8	0.6051325015	0.9958158996	0.8178694158	0.8516483516
9	0.593994113	1	0.8213058419	0.8571428571
10	0.5871504575	0.9958158996	0.8178694158	0.8516483516
11	0.5795384158	1	0.8184931507	0.8543956044
12	0.5703615288	0.9958158996	0.8292682927	0.8626373626
13	0.562760721	1	0.8298611111	0.8653846154
14	0.5560129916	0.9958158996	0.8292682927	0.8626373626
15	0.5500578417	0.9958158996	0.8235294118	0.8571428571
16	0.5436126295	0.9958158996	0.8206896552	0.8543956044
17	0.5369434296	1	0.8184931507	0.8543956044
18	0.5279154649	1	0.8184931507	0.8543956044
19	0.5213658309	1	0.8269896194	0.8626373626
20	0.5159069285	1	0.8269896194	0.8626373626
21	0.5102623037	1	0.8184931507	0.8543956044
22	0.5032034782	1	0.8356643357	0.8708791209
23	0.4989165395	1	0.8356643357	0.8708791209
24	0.4928469859	1	0.8415492958	0.8763736264
25	0.4870221503	1	0.8385964912	0.8736263736
26	0.4823995946	1	0.8385964912	0.8736263736
27	0.4746466424	1	0.8475177305	0.8818681319
28	0.4697601846	1	0.8505338078	0.8846153846
29	0.4641242434	1	0.8475177305	0.8818681319
30	0.460393805	1	0.8505338078	0.8846153846
31	0.4559570567	1	0.8505338078	0.8846153846
32	0.451370229	1	0.8475177305	0.8818681319
33	0.4460595716	1	0.8535714286	0.8873626374
34	0.4409576513	1	0.8535714286	0.8873626374
35	0.4350576989	1	0.8690909091	0.9010989011
36	0.4304344171	1	0.8722627737	0.9038461538
37	0.4272611976	1	0.8819188192	0.9120879121
38	0.4230535648	1	0.8819188192	0.9120879121
39	0.4188368992	1	0.8884758364	0.9175824176
40	0.4135822986	1	0.8851851852	0.9148351648
41	0.408234999	1	0.8851851852	0.9148351648
42	0.4019076356	1	0.8984962406	0.9258241758
43	0.397038598	1	0.9053030303	0.9313186813
44	0.3938800774	1	0.9053030303	0.9313186813
45	0.3906965786	1	0.9087452471	0.9340659341
46	0.3865304927	1	0.9157088123	0.9395604396
47	0.3826579787	1	0.9122137405	0.9368131868
48	0.3779427759	1	0.9122137405	0.9368131868
49	0.3750952267	1	0.9192307692	0.9423076923
50	0.3712473071	1	0.9227799228	0.9450549451
51	0.3669574557	1	0.9227799228	0.9450549451
52	0.3624850726	1	0.9299610895	0.9505494505
53	0.3607879206	1	0.9263565891	0.9478021978
54	0.3586649793	1	0.9227799228	0.9450549451
55	0.3531732482	1	0.937254902	0.956043956
56	0.3482012658	1	0.9409448819	0.9587912088
57	0.3443013972	1	0.9409448819	0.9587912088
58	0.3405903263	1	0.9409448819	0.9587912088
59	0.3375469986	1	0.9484126984	0.9642857143
60	0.3341901718	1	0.9446640316	0.9615384615
61	0.3318020037	1	0.9446640316	0.9615384615
62	0.3279350188	1	0.9484126984	0.9642857143
63	0.3251720166	1	0.9521912351	0.967032967
64	0.3213169017	1	0.9446640316	0.9615384615
65	0.3188272942	1	0.9484126984	0.9642857143
66	0.3157004685	1	0.956	0.9697802198
67	0.3129989944	1	0.9598393574	0.9725274725
68	0.3100497879	1	0.9598393574	0.9725274725
69	0.3069874975	1	0.9598393574	0.9725274725
70	0.3055812217	1	0.9637096774	0.9752747253
71	0.3028883663	1	0.9598393574	0.9725274725
72	0.3000784725	1	0.967611336	0.978021978
73	0.2988663156	1	0.9637096774	0.9752747253
74	0.2963500157	1	0.967611336	0.978021978
75	0.2936888128	1	0.967611336	0.978021978
76	0.2918073999	1	0.967611336	0.978021978
77	0.2899312406	1	0.9715447154	0.9807692308
78	0.287559458	1	0.9715447154	0.9807692308
79	0.2857923712	1	0.9715447154	0.9807692308
80	0.2833379018	1	0.9715447154	0.9807692308
81	0.2814571114	1	0.9755102041	0.9835164835
82	0.279863307	1	0.9598393574	0.9725274725
83	0.2777714875	1	0.9637096774	0.9752747253
84	0.2742181265	1	0.9715447154	0.9807692308
85	0.2722018357	1	0.967611336	0.978021978
86	0.2695899391	1	0.9715447154	0.9807692308
87	0.2670023601	1	0.9755102041	0.9835164835
88	0.2651006256	1	0.9715447154	0.9807692308
89	0.2635700631	1	0.9755102041	0.9835164835
90	0.2611086281	1	0.9755102041	0.9835164835
91	0.2594383379	1	0.9795081967	0.9862637363
92	0.2558449163	1	0.9795081967	0.9862637363
93	0.2535156583	1	0.9917012448	0.9945054945
94	0.2512462587	1	0.9917012448	0.9945054945
95	0.2494256191	1	0.9876033058	0.9917582418
96	0.2464775773	1	0.9917012448	0.9945054945
97	0.2450895036	1	0.9917012448	0.9945054945
98	0.2423375252	1	0.9917012448	0.9945054945
99	0.2409881212	1	0.9917012448	0.9945054945
100	0.2391282949	1	0.9917012448	0.9945054945
101	0.2372432877	1	0.9917012448	0.9945054945
102	0.235453729	1	0.9917012448	0.9945054945
103	0.2346406979	1	0.9917012448	0.9945054945
104	0.2327873249	1	0.9958333333	0.9972527473
105	0.2311325856	1	0.9958333333	0.9972527473
106	0.2294833658	1	0.9958333333	0.9972527473
107	0.2280521839	1	0.9917012448	0.9945054945
108	0.2264062721	1	0.9917012448	0.9945054945
109	0.2240825171	1	0.9917012448	0.9945054945
110	0.2228118965	1	0.9917012448	0.9945054945
111	0.2211648026	1	0.9917012448	0.9945054945
112	0.2188373463	1	0.9917012448	0.9945054945
113	0.2177116842	1	0.9958333333	0.9972527473
114	0.215737593	1	0.9958333333	0.9972527473
115	0.2139151318	1	0.9958333333	0.9972527473
116	0.2123161621	1	0.9958333333	0.9972527473
117	0.2108471976	1	0.9958333333	0.9972527473
118	0.2085254085	1	0.9958333333	0.9972527473
119	0.2066939105	1	0.9958333333	0.9972527473
120	0.2049365141	1	0.9958333333	0.9972527473
121	0.2036674223	1	0.9958333333	0.9972527473
122	0.2028223985	1	0.9958333333	0.9972527473
123	0.2011416023	1	0.9958333333	0.9972527473
124	0.1990264022	1	0.9958333333	0.9972527473
125	0.197492363	1	0.9958333333	0.9972527473
126	0.1962277247	1	0.9958333333	0.9972527473
127	0.1951237224	1	0.9958333333	0.9972527473
128	0.1927812039	1	0.9958333333	0.9972527473
129	0.1915181188	1	0.9958333333	0.9972527473
130	0.1904549115	1	0.9958333333	0.9972527473
131	0.1888738155	1	0.9958333333	0.9972527473
132	0.1877323858	1	0.9958333333	0.9972527473
133	0.1863819849	1	0.9958333333	0.9972527473
134	0.184815403	1	1	1
135	0.1832216588	1	1	1
136	0.1821021389	1	1	1
137	0.1809645342	1	1	1
138	0.1793506549	1	1	1
139	0.1777376528	1	0.9958333333	0.9972527473
140	0.1765643413	1	1	1
141	0.1754896962	1	1	1
142	0.1743528283	1	1	1
143	0.17313383	1	1	1
144	0.1717619795	1	1	1
145	0.1702502139	1	1	1
146	0.1689602067	1	1	1
147	0.1681023122	1	1	1
148	0.1668355811	1	1	1
149	0.1648490367	1	1	1
150	0.1636869506	1	1	1
151	0.1625370041	1	1	1
152	0.1611953776	1	1	1
153	0.1591533007	1	1	1
154	0.1577635933	1	1	1
155	0.1567072367	1	1	1
156	0.1558531987	1	1	1
157	0.1550058493	1	1	1
158	0.1538225862	1	1	1
159	0.1523173313	1	1	1
160	0.1505042909	1	1	1
161	0.1494695729	1	1	1
162	0.1481637914	1	1	1
163	0.1470354242	1	1	1
164	0.1460142142	1	1	1
165	0.1451908226	1	1	1
166	0.144259578	1	1	1
167	0.1433519892	1	1	1
168	0.1424781664	1	1	1
169	0.1415435015	1	1	1
170	0.1405027496	1	1	1
171	0.1392103889	1	1	1
172	0.1380393354	1	1	1
173	0.1366104244	1	1	1
174	0.135647428	1	1	1
175	0.1349617907	1	1	1
176	0.1339123542	1	1	1
177	0.1329170187	1	1	1
178	0.1320075647	1	1	1
179	0.1309640262	1	1	1
180	0.1299258151	1	1	1
181	0.1288796569	1	1	1
182	0.1278559581	1	1	1
183	0.1268634973	1	1	1
184	0.1264354858	1	1	1
185	0.12564483	1	1	1
186	0.1243825648	1	1	1
187	0.1235278616	1	1	1
188	0.1227173162	1	1	1
189	0.1217563875	1	1	1
190	0.1205367165	1	1	1
191	0.1193596346	1	1	1
192	0.1185218971	1	1	1
193	0.1176238281	1	1	1
194	0.1166876352	1	1	1
195	0.1157707392	1	1	1
196	0.1151525137	1	1	1
197	0.1140851497	1	1	1
