iter	Logloss	Recall	Precision
0	0.684310828	0.9442508711	0.7057291667
1	0.6725532158	0.9337979094	0.7570621469
2	0.6606497766	0.9547038328	0.7828571429
3	0.6518809069	0.9790940767	0.7849162011
4	0.6422641469	0.9965156794	0.7857142857
5	0.6337072595	0.9930313589	0.7744565217
6	0.6241948497	0.9930313589	0.7916666667
7	0.6172326637	1	0.7841530055
8	0.6101657729	1	0.7841530055
9	0.6005560476	1	0.7884615385
10	0.5921497887	0.9965156794	0.7878787879
11	0.5835793502	0.9965156794	0.7900552486
12	0.5771904199	1	0.7884615385
13	0.5711709655	1	0.7950138504
14	0.564462457	1	0.7994428969
15	0.5547754163	1	0.8039215686
16	0.5480811758	1	0.8084507042
17	0.5414074246	1	0.8084507042
18	0.5330472748	1	0.8176638177
19	0.5271015743	1	0.8153409091
20	0.5203344123	1	0.8247126437
21	0.513549331	1	0.8270893372
22	0.5057536591	1	0.8343023256
23	0.5000870372	1	0.8367346939
24	0.4952066485	1	0.831884058
25	0.4891580255	1	0.8343023256
26	0.4841564236	1	0.8367346939
27	0.4785438574	1	0.8367346939
28	0.473899174	1	0.8416422287
29	0.4688284432	1	0.8441176471
30	0.4637312512	1	0.849112426
31	0.4589293224	1	0.849112426
32	0.4551374528	1	0.849112426
33	0.4501370489	1	0.8516320475
34	0.4447448734	1	0.8567164179
35	0.4406074004	1	0.8567164179
36	0.4352751982	1	0.8541666667
37	0.4328216961	1	0.8644578313
38	0.4292048663	1	0.8644578313
39	0.4259497269	1	0.8696969697
40	0.423180211	1	0.8644578313
41	0.4173279778	1	0.8670694864
42	0.4133808363	1	0.8696969697
43	0.4087380233	1	0.8723404255
44	0.4050807895	1	0.875
45	0.40149327	1	0.877675841
46	0.39758409	1	0.875
47	0.3929958974	1	0.8830769231
48	0.3892146668	1	0.8858024691
49	0.3855292413	1	0.8858024691
50	0.3814770383	1	0.8940809969
51	0.3777102784	1	0.8940809969
52	0.3739094686	1	0.896875
53	0.3699352184	1	0.896875
54	0.3667746286	1	0.9025157233
55	0.3631041618	1	0.9025157233
56	0.3594629442	1	0.9169329073
57	0.355853395	1	0.9198717949
58	0.3519507994	1	0.922829582
59	0.3484809224	1	0.922829582
60	0.3440827902	1	0.9169329073
61	0.3413570102	1	0.928802589
62	0.3389490239	1	0.9348534202
63	0.3352923508	1	0.9348534202
64	0.3326008583	1	0.9379084967
65	0.3309311631	1	0.9409836066
66	0.3282800055	1	0.9440789474
67	0.3258009974	1	0.9503311258
68	0.3228019823	1	0.9471947195
69	0.3200315865	1	0.9471947195
70	0.3187194158	1	0.9471947195
71	0.315814243	1	0.9503311258
72	0.3121928195	1	0.9503311258
73	0.3108905964	1	0.9503311258
74	0.3079959496	1	0.9598662207
75	0.3054168942	1	0.9598662207
