iter	Passed	Remaining
0	19	9931
1	33	8287
2	51	8530
3	75	9384
4	95	9420
5	108	8972
6	122	8629
7	136	8389
8	149	8179
9	163	8009
10	176	7855
11	189	7726
12	203	7613
13	216	7521
14	229	7431
15	243	7356
16	256	7286
17	270	7233
18	283	7182
19	296	7124
20	310	7087
21	324	7043
22	337	6996
23	350	6960
24	364	6917
25	377	6885
26	391	6855
27	404	6824
28	418	6792
29	431	6757
30	444	6725
31	457	6694
32	471	6669
33	484	6640
34	498	6619
35	511	6598
36	525	6574
37	538	6544
38	551	6520
39	565	6499
40	580	6494
41	659	7188
42	678	7207
43	696	7217
44	718	7260
45	737	7282
46	751	7245
47	767	7225
48	780	7186
49	794	7147
50	807	7110
51	821	7073
52	834	7040
53	855	7068
54	868	7030
55	882	6997
56	896	6964
57	909	6933
58	923	6900
59	936	6867
60	950	6838
61	963	6806
62	976	6774
63	990	6746
64	1004	6723
65	1018	6694
66	1031	6665
67	1044	6638
68	1058	6609
69	1072	6585
70	1085	6556
71	1098	6532
72	1112	6505
73	1125	6476
74	1138	6453
75	1152	6428
76	1165	6400
77	1180	6385
78	1194	6363
79	1215	6379
80	1228	6352
81	1241	6328
82	1255	6305
83	1268	6281
84	1281	6257
85	1294	6233
86	1308	6211
87	1321	6189
88	1335	6167
89	1348	6145
90	1362	6124
91	1376	6102
92	1390	6083
93	1403	6062
94	1416	6040
95	1429	6017
96	1443	5996
97	1456	5976
98	1470	5956
99	1483	5934
100	1496	5912
101	1510	5892
102	1523	5870
103	1536	5850
104	1549	5830
105	1563	5810
106	1576	5791
107	1590	5771
108	1603	5751
109	1616	5731
110	1629	5710
111	1643	5692
112	1660	5686
113	1740	5891
114	1758	5886
115	1776	5881
116	1795	5878
117	1815	5876
118	1841	5894
119	1871	5925
120	1888	5914
121	1901	5890
122	1914	5868
123	1927	5845
124	1941	5824
125	1957	5811
126	1974	5800
127	1988	5777
128	2001	5755
129	2014	5733
130	2027	5710
131	2040	5688
132	2054	5668
133	2067	5645
134	2079	5623
135	2092	5601
136	2106	5580
137	2120	5561
138	2133	5541
139	2147	5521
140	2160	5501
141	2174	5483
142	2188	5463
143	2201	5443
144	2214	5422
145	2228	5402
146	2241	5383
147	2254	5362
148	2268	5343
149	2281	5323
150	2295	5304
151	2308	5285
152	2322	5266
153	2335	5247
154	2349	5228
155	2362	5209
156	2375	5190
157	2390	5175
158	2405	5158
159	2418	5139
160	2432	5121
161	2445	5102
162	2459	5084
163	2472	5065
164	2485	5046
165	2498	5028
166	2512	5009
167	2525	4991
168	2539	4972
169	2552	4953
170	2565	4935
171	2578	4917
172	2592	4899
173	2605	4881
174	2618	4863
175	2632	4845
176	2645	4827
177	2658	4809
178	2672	4792
179	2685	4773
180	2698	4755
181	2711	4737
182	2724	4719
183	2801	4811
184	2890	4921
185	2909	4910
186	2927	4900
187	2949	4894
188	2971	4888
189	2984	4869
190	2997	4849
191	3011	4830
192	3024	4810
193	3037	4791
194	3051	4772
195	3064	4753
196	3077	4734
197	3091	4714
198	3104	4695
199	3117	4676
200	3131	4657
201	3144	4639
202	3158	4620
203	3171	4601
204	3184	4583
205	3198	4564
206	3211	4546
207	3224	4527
208	3238	4508
209	3251	4490
210	3265	4472
211	3278	4453
212	3291	4435
213	3305	4417
214	3318	4398
215	3331	4380
216	3345	4362
217	3358	4344
218	3372	4326
219	3385	4308
220	3398	4290
221	3411	4272
222	3426	4255
223	3439	4238
224	3453	4221
225	3466	4202
226	3479	4185
227	3493	4167
228	3506	4150
229	3520	4132
230	3534	4115
231	3547	4098
232	3560	4080
233	3574	4063
234	3588	4046
235	3601	4028
236	3615	4011
237	3628	3994
238	3641	3976
239	3654	3959
240	3667	3941
241	3680	3924
242	3694	3907
243	3707	3890
244	3720	3872
245	3733	3855
246	3746	3837
247	3760	3820
248	3773	3803
249	3791	3791
250	3804	3774
251	3838	3777
252	3851	3759
253	3864	3742
254	3877	3725
255	3915	3731
256	3976	3759
257	3994	3746
258	4012	3733
259	4036	3725
260	4062	3720
261	4089	3714
262	4116	3709
263	4143	3704
264	4184	3710
265	4197	3692
266	4211	3674
267	4224	3657
268	4237	3639
269	4251	3621
270	4264	3603
271	4277	3585
272	4291	3568
273	4304	3550
274	4318	3533
275	4331	3515
276	4344	3497
277	4358	3480
278	4371	3462
279	4385	3445
280	4398	3428
281	4412	3410
282	4425	3393
283	4439	3376
284	4452	3358
285	4465	3341
286	4478	3324
287	4492	3307
288	4506	3289
289	4519	3272
290	4532	3255
291	4546	3238
292	4559	3221
293	4572	3204
294	4586	3187
295	4600	3170
296	4613	3153
297	4626	3136
298	4640	3119
299	4653	3102
300	4667	3085
301	4680	3068
302	4693	3051
303	4706	3034
304	4720	3017
305	4733	3001
306	4749	2986
307	4763	2969
308	4776	2952
309	4789	2935
310	4808	2922
311	4838	2915
312	4861	2904
313	4883	2892
314	4906	2881
315	4925	2868
316	4945	2854
317	4985	2853
318	5066	2874
319	5092	2864
320	5119	2854
321	5137	2840
322	5161	2828
323	5180	2814
324	5194	2796
325	5207	2779
326	5220	2761
327	5233	2744
328	5247	2727
329	5260	2710
330	5273	2692
331	5286	2675
332	5300	2658
333	5313	2640
334	5326	2623
335	5341	2607
336	5355	2590
337	5368	2573
338	5382	2556
339	5394	2538
340	5408	2521
341	5421	2504
342	5435	2487
343	5449	2471
344	5462	2454
345	5476	2437
346	5490	2420
347	5504	2404
348	5517	2387
349	5531	2370
350	5544	2353
351	5557	2336
352	5571	2320
353	5584	2303
354	5597	2286
355	5611	2269
356	5624	2252
357	5638	2236
358	5651	2219
359	5665	2203
360	5679	2186
361	5692	2170
362	5705	2153
363	5719	2136
364	5732	2120
365	5746	2103
366	5759	2087
367	5773	2070
368	5786	2054
369	5808	2040
370	5829	2026
371	5842	2010
372	5855	1993
373	5868	1977
374	5882	1960
375	5895	1944
376	5914	1929
377	5944	1918
378	5957	1902
379	5970	1885
380	5984	1869
381	5997	1852
382	6010	1836
383	6024	1819
384	6038	1803
385	6056	1788
386	6204	1811
387	6222	1796
388	6240	1780
389	6259	1765
390	6292	1754
391	6319	1741
392	6347	1728
393	6374	1714
394	6410	1704
395	6424	1687
396	6437	1670
397	6450	1653
398	6464	1636
399	6477	1619
400	6491	1602
401	6504	1585
402	6518	1568
403	6531	1552
404	6544	1535
405	6558	1518
406	6571	1501
407	6584	1484
408	6598	1468
409	6611	1451
410	6624	1434
411	6638	1417
412	6651	1401
413	6664	1384
414	6678	1367
415	6691	1351
416	6705	1334
417	6718	1317
418	6731	1301
419	6744	1284
420	6757	1268
421	6771	1251
422	6785	1235
423	6811	1220
424	6828	1205
425	6841	1188
426	6855	1172
427	6869	1155
428	6882	1139
429	6896	1122
430	6909	1106
431	6923	1089
432	6936	1073
433	6949	1056
434	6963	1040
435	6976	1024
436	6989	1007
437	7003	991
438	7017	975
439	7030	958
440	7043	942
441	7057	926
442	7070	909
443	7084	893
444	7097	877
445	7110	860
446	7123	844
447	7137	828
448	7150	812
449	7163	795
450	7176	779
451	7190	763
452	7206	747
453	7288	738
454	7307	722
455	7325	706
456	7343	690
457	7370	675
458	7387	659
459	7401	643
460	7414	627
461	7427	610
462	7440	594
463	7453	578
464	7466	561
465	7479	545
466	7492	529
467	7505	513
468	7519	497
469	7532	480
470	7545	464
471	7559	448
472	7572	432
473	7585	416
474	7599	399
475	7612	383
476	7625	367
477	7639	351
478	7652	335
479	7665	319
480	7678	303
481	7691	287
482	7704	271
483	7717	255
484	7730	239
485	7743	223
486	7756	207
487	7770	191
488	7790	175
489	7815	159
490	7828	143
491	7842	127
492	7855	111
493	7868	95
494	7882	79
495	7895	63
496	7908	47
497	7922	31
498	7936	15
499	7949	0
