iter	Logloss	Recall	Precision	Accuracy
0	0.6834330565	0.8352941176	0.8007518797	0.7671568627
1	0.6727597682	0.937254902	0.8020134228	0.8161764706
2	0.6622808793	0.9568627451	0.8106312292	0.8333333333
3	0.653838917	0.9803921569	0.8143322476	0.8480392157
4	0.6436177341	0.9921568627	0.8161290323	0.8553921569
5	0.6362496028	0.9921568627	0.8161290323	0.8553921569
6	0.6302473456	0.9960784314	0.8193548387	0.8602941176
7	0.6243765653	0.9882352941	0.8102893891	0.8480392157
8	0.6173587098	0.9921568627	0.8161290323	0.8553921569
9	0.6100163165	0.9921568627	0.8108974359	0.8504901961
10	0.6048455135	0.9921568627	0.8135048232	0.8529411765
11	0.597556724	0.9921568627	0.8135048232	0.8529411765
12	0.5921216578	1	0.8095238095	0.8529411765
13	0.5873594787	1	0.796875	0.8406862745
14	0.5816756288	1	0.8121019108	0.8553921569
15	0.5758430051	1	0.8069620253	0.8504901961
16	0.5694930332	1	0.8252427184	0.8676470588
17	0.5615189789	1	0.8252427184	0.8676470588
18	0.5538379307	1	0.8252427184	0.8676470588
19	0.5482990324	0.9960784314	0.8273615635	0.8676470588
20	0.5438149742	0.9960784314	0.8246753247	0.8651960784
21	0.5400669114	0.9921568627	0.8241042345	0.862745098
22	0.5347554419	0.9921568627	0.8241042345	0.862745098
23	0.5288225389	0.9960784314	0.8300653595	0.8700980392
24	0.5237480548	0.9960784314	0.8355263158	0.875
25	0.5176672073	0.9960784314	0.8273615635	0.8676470588
26	0.513638689	0.9960784314	0.8355263158	0.875
27	0.5078350989	0.9960784314	0.8494983278	0.887254902
28	0.5030237846	0.9960784314	0.8639455782	0.8995098039
29	0.4989227509	0.9960784314	0.8581081081	0.8946078431
30	0.4949723016	0.9960784314	0.8698630137	0.9044117647
31	0.4901835346	0.9960784314	0.8639455782	0.8995098039
32	0.4859886634	0.9960784314	0.8639455782	0.8995098039
33	0.4815923451	0.9960784314	0.8639455782	0.8995098039
34	0.4753338784	0.9960784314	0.866894198	0.9019607843
35	0.4703850652	0.9960784314	0.866894198	0.9019607843
36	0.4667486357	0.9960784314	0.8788927336	0.9117647059
37	0.4642892306	0.9960784314	0.8728522337	0.9068627451
38	0.4602090292	0.9960784314	0.875862069	0.9093137255
39	0.4577523625	0.9960784314	0.8788927336	0.9117647059
40	0.454122283	0.9960784314	0.8850174216	0.9166666667
41	0.4497191288	0.9960784314	0.8788927336	0.9117647059
42	0.4445610032	0.9960784314	0.8850174216	0.9166666667
43	0.4403425081	0.9960784314	0.8975265018	0.9264705882
44	0.436684075	0.9960784314	0.8881118881	0.9191176471
45	0.4330098392	0.9960784314	0.8912280702	0.9215686275
46	0.4296619714	0.9960784314	0.8912280702	0.9215686275
47	0.4256478414	0.9960784314	0.8943661972	0.9240196078
48	0.422541607	0.9960784314	0.9007092199	0.9289215686
49	0.4196621614	0.9960784314	0.9039145907	0.931372549
50	0.4170238079	0.9960784314	0.9039145907	0.931372549
51	0.4138508269	0.9960784314	0.9039145907	0.931372549
52	0.4093560905	0.9960784314	0.9071428571	0.9338235294
53	0.4057498157	0.9960784314	0.9136690647	0.9387254902
54	0.4034446919	0.9960784314	0.916967509	0.9411764706
55	0.3993475302	0.9960784314	0.9202898551	0.943627451
56	0.3950973079	0.9960784314	0.9270072993	0.9485294118
57	0.3923987704	0.9960784314	0.9270072993	0.9485294118
58	0.3896849129	0.9960784314	0.9270072993	0.9485294118
59	0.3860620913	0.9960784314	0.9236363636	0.9460784314
60	0.3832700999	0.9960784314	0.9338235294	0.9534313725
61	0.3816613052	0.9960784314	0.9304029304	0.9509803922
62	0.378298622	0.9960784314	0.9304029304	0.9509803922
63	0.3745699761	0.9960784314	0.9338235294	0.9534313725
64	0.37215501	0.9960784314	0.9372693727	0.9558823529
65	0.370009705	0.9960784314	0.9372693727	0.9558823529
66	0.3670271747	0.9960784314	0.9372693727	0.9558823529
67	0.3648272476	0.9960784314	0.9407407407	0.9583333333
68	0.3613448747	0.9960784314	0.9442379182	0.9607843137
69	0.3587258783	0.9960784314	0.947761194	0.9632352941
70	0.3557134447	0.9960784314	0.9407407407	0.9583333333
71	0.3528281038	0.9960784314	0.9513108614	0.9656862745
72	0.3507066753	0.9960784314	0.958490566	0.9705882353
73	0.3484176879	0.9960784314	0.9621212121	0.9730392157
74	0.3460922523	0.9960784314	0.9621212121	0.9730392157
75	0.3440213132	0.9960784314	0.9621212121	0.9730392157
76	0.3426144659	0.9960784314	0.9621212121	0.9730392157
77	0.3405473287	0.9960784314	0.9657794677	0.9754901961
78	0.3385327135	0.9960784314	0.9621212121	0.9730392157
79	0.3368049599	0.9960784314	0.9657794677	0.9754901961
80	0.3341218439	0.9960784314	0.9657794677	0.9754901961
