iter	Passed	Remaining
0	85	85450
1	99	49734
2	112	37505
3	124	31084
4	136	27248
5	149	24784
6	161	22974
7	174	21596
8	186	20577
9	199	19746
10	211	19059
11	224	18484
12	236	17985
13	250	17612
14	263	17317
15	277	17094
16	290	16784
17	302	16521
18	315	16266
19	327	16047
20	339	15817
21	352	15652
22	364	15495
23	381	15523
24	395	15411
25	407	15276
26	420	15149
27	433	15052
28	446	14966
29	460	14877
30	472	14781
31	485	14690
32	498	14604
33	510	14516
34	523	14422
35	535	14341
36	548	14270
37	560	14194
38	572	14112
39	585	14062
40	598	13992
41	610	13928
42	623	13867
43	635	13810
44	649	13782
45	661	13721
46	673	13661
47	685	13604
48	698	13549
49	711	13518
50	723	13465
51	737	13437
52	749	13394
53	761	13348
54	774	13311
55	787	13269
56	799	13230
57	812	13193
58	825	13162
59	837	13123
60	850	13089
61	862	13054
62	875	13023
63	888	12990
64	900	12954
65	913	12925
66	925	12893
67	939	12873
68	952	12845
69	964	12816
70	979	12815
71	994	12815
72	1016	12912
73	1041	13034
74	1065	13140
75	1078	13107
76	1091	13078
77	1105	13064
78	1118	13034
79	1130	13002
80	1142	12965
81	1155	12941
82	1169	12921
83	1184	12912
84	1199	12908
85	1211	12877
86	1224	12851
87	1237	12820
88	1249	12786
89	1261	12758
90	1275	12736
91	1287	12706
92	1299	12673
93	1312	12649
94	1325	12623
95	1337	12598
96	1349	12566
97	1361	12535
98	1374	12506
99	1386	12476
100	1398	12450
101	1412	12431
102	1433	12485
103	1446	12460
104	1458	12431
105	1478	12469
106	1562	13040
107	1582	13071
108	1595	13039
109	1607	13007
110	1619	12972
111	1632	12947
112	1645	12916
113	1658	12888
114	1671	12859
115	1683	12830
116	1696	12803
117	1709	12778
118	1722	12749
119	1734	12722
120	1746	12689
121	1760	12667
122	1774	12649
123	1786	12622
124	1800	12602
125	1813	12580
126	1828	12566
127	1842	12550
128	1854	12520
129	1867	12498
130	1880	12471
131	1892	12445
132	1905	12423
133	1918	12396
134	1931	12374
135	1943	12348
136	1955	12319
137	1971	12313
138	2118	13122
139	2146	13183
140	2166	13198
141	2187	13219
142	2200	13190
143	2217	13179
144	2233	13171
145	2248	13150
146	2263	13132
147	2275	13101
148	2291	13087
149	2305	13064
150	2319	13040
151	2334	13024
152	2347	12995
153	2365	12995
154	2378	12965
155	2393	12948
156	2413	12961
157	2432	12963
158	2450	12959
159	2464	12938
160	2481	12933
161	2497	12919
162	2510	12893
163	2524	12868
164	2537	12842
165	2550	12815
166	2564	12793
167	2578	12769
168	2592	12746
169	2608	12733
170	2621	12707
171	2637	12696
172	2650	12671
173	2666	12660
174	2679	12632
175	2693	12608
176	2705	12580
177	2721	12568
178	2735	12545
179	2747	12516
180	2760	12488
181	2772	12460
182	2784	12431
183	2799	12412
184	2815	12405
185	2831	12390
186	2844	12365
187	2857	12343
188	2871	12320
189	2883	12292
190	2896	12269
191	2908	12240
192	2921	12215
193	2938	12209
194	2952	12186
195	2965	12163
196	2978	12140
197	2998	12145
198	3013	12129
199	3027	12109
200	3040	12085
201	3053	12061
202	3066	12039
203	3078	12013
204	3090	11986
205	3104	11964
206	3118	11947
207	3131	11922
208	3143	11896
209	3155	11871
210	3170	11856
211	3183	11831
212	3195	11808
213	3208	11784
214	3221	11760
215	3233	11735
216	3245	11709
217	3257	11685
218	3269	11659
219	3283	11640
220	3297	11623
221	3310	11600
222	3323	11579
223	3335	11554
224	3350	11539
225	3362	11515
226	3374	11490
227	3386	11467
228	3400	11448
229	3418	11443
230	3430	11420
231	3442	11396
232	3458	11385
233	3472	11368
234	3485	11345
235	3497	11323
236	3510	11301
237	3525	11286
238	3537	11262
239	3550	11243
240	3563	11221
241	3578	11208
242	3590	11185
243	3603	11164
244	3615	11141
245	3630	11128
246	3642	11105
247	3655	11084
248	3668	11064
249	3680	11042
250	3693	11022
251	3706	11000
252	3719	10980
253	3731	10958
254	3745	10943
255	3766	10945
256	3779	10927
257	3791	10905
258	3805	10886
259	3817	10866
260	3829	10844
261	3842	10822
262	3854	10801
263	3866	10779
264	3880	10763
265	3895	10749
266	3908	10730
267	3921	10709
268	3934	10692
269	3948	10676
270	3960	10654
271	3972	10633
272	3985	10614
273	4007	10617
274	4019	10597
275	4031	10575
276	4043	10554
277	4060	10545
278	4072	10524
279	4085	10504
280	4097	10483
281	4110	10466
282	4123	10448
283	4135	10427
284	4148	10406
285	4160	10386
286	4174	10370
287	4187	10352
288	4199	10331
289	4211	10311
290	4223	10290
291	4239	10280
