,Ensembl gene ID,HGNC ID,Status,Approved symbol,Approved name,NCBI gene ID,UCSC gene ID,RefSeq accession
0,ENSG00000198900,HGNC:11986,Approved,TOP1,DNA topoisomerase I,7150,uc002xjl.4,NM_003286
1,ENSG00000215515,HGNC:5408,Approved,IFIT1P1,interferon induced protein with tetratricopeptide repeats 1 pseudogene 1,8373,,NG_001215
2,ENSG00000215399,HGNC:39299,Approved,HMGB3P7,high mobility group box 3 pseudogene 7,100420033,,NG_024948
3,ENSG00000196331,,,,,,,
4,ENSG00000206044,,,,,,,
5,ENSG00000206034,HGNC:33469,Approved,DEFB109B,defensin beta 109B,641517,,NM_001037380
6,ENSG00000206028,,,,,,,
7,ENSG00000157827,HGNC:18267,Approved,FMNL2,formin like 2,114793,uc002tye.3,NM_052905
8,ENSG00000053328,HGNC:21566,Approved,METTL24,methyltransferase like 24,728464,uc010kdu.2,NM_001123364
9,ENSG00000129864,HGNC:12668,Approved,VCY,variable charge Y-linked,9084,uc004ftc.4,NM_004679
10,ENSG00000235751,,,,,,,
11,ENSG00000177613,HGNC:17086,Approved,CSTF2T,cleavage stimulation factor subunit 2 tau variant,23283,uc001jjp.4,NM_015235
12,ENSG00000228295,HGNC:42720,Approved,LINC00392,long intergenic non-protein coding RNA 392,100874155,uc058xll.1,NR_047009
13,ENSG00000227193,,,,,,,
14,ENSG00000234312,HGNC:51280,Approved,SAPCD2P4,suppressor APC domain containing 2 pseudogene 4,442318,,NG_022538
15,ENSG00000236151,,,,,,,
16,ENSG00000269746,,,,,,,
17,ENSG00000099721,HGNC:462,Approved,AMELY,amelogenin Y-linked,266,uc004fqz.3,NM_001143
18,ENSG00000231651,HGNC:40182,Approved,DLG3-AS1,DLG3 antisense RNA 1,100873930,uc033ehj.2,NR_046586
19,ENSG00000129845,HGNC:14022,Approved,TTTY1,"testis-specific transcript, Y-linked 1",50858,uc004fsm.3,NR_001538
20,ENSGR0000168939,,,,,,,
21,ENSGR0000234958,,,,,,,
22,ENSGR0000214717,,,,,,,
23,ENSGR0000237801,,,,,,,
24,ENSGR0000197976,,,,,,,
25,ENSGR0000169100,,,,,,,
26,ENSGR0000182484,,,,,,,
27,ENSGR0000198223,,,,,,,
28,ENSGR0000223274,,,,,,,
29,ENSGR0000185960,,,,,,,
30,ENSGR0000266731,,,,,,,
31,ENSGR0000169084,,,,,,,
32,ENSGR0000226179,,,,,,,
33,ENSGR0000205755,,,,,,,
34,ENSGR0000185291,,,,,,,
35,ENSGR0000002586,,,,,,,
36,ENSGR0000167393,,,,,,,
37,ENSGR0000236871,,,,,,,
38,ENSGR0000228572,,,,,,,
39,ENSG00000155980,HGNC:6323,Approved,KIF5A,kinesin family member 5A,3798,uc001sor.2,NM_004984
40,ENSG00000185990,,,,,,,
41,ENSG00000197932,,,,,,,
42,ENSG00000177551,HGNC:7818,Approved,NHLH2,nescient helix-loop-helix 2,4808,uc057jrm.1,NM_005599
43,ENSG00000175911,,,,,,,
44,ENSG00000214810,HGNC:21252,Approved,CYCSP55,CYCS pseudogene 55,157317,,NG_007352
45,ENSG00000214617,HGNC:11043,Approved,SLC6A10P,"solute carrier family 6 member 10, pseudogene",386757,,NR_003083
46,ENSG00000160208,HGNC:23818,Approved,RRP1B,ribosomal RNA processing 1B,23076,uc002zdk.4,NM_015056
47,ENSG00000203864,HGNC:32040,Approved,LINC02868,long intergenic non-protein coding RNA 2868,388667,uc031una.2,NR_149353
48,ENSG00000230836,HGNC:50362,Approved,LINC01293,long intergenic non-protein coding RNA 1293,101927861,,
49,ENSG00000184785,HGNC:41913,Approved,SMIM10,small integral membrane protein 10,644538,uc011mvs.2,NM_001163438
50,ENSG00000233796,,,,,,,
51,ENSG00000237474,,,,,,,
